"circ";"coll";"comune";"elettoritot";"elettorimaschi";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"VOTIVALIDI";"SKBIANCHE"
"PIEMONTE 1";"Torino 1";"Torino 1";104546,00;48958,00;84643,00;39875,00;80428,00;2046,00
"PIEMONTE 1";"Torino 2";"Torino 2";91360,00;42431,00;75117,00;35257,00;70855,00;1939,00
"PIEMONTE 1";"Torino 3";"Torino 3";100126,00;47334,00;83298,00;39986,00;78284,00;2161,00
"PIEMONTE 1";"Torino 4";"Torino 4";95505,00;45400,00;76340,00;36753,00;70988,00;2369,00
"PIEMONTE 1";"Torino 5";"Torino 5";90985,00;43877,00;75841,00;37085,00;70319,00;2440,00
"PIEMONTE 1";"Torino 6";"Torino 6";96650,00;44581,00;81471,00;38196,00;76888,00;2139,00
"PIEMONTE 1";"Torino 7";"Torino 7";99692,00;47852,00;82745,00;39946,00;77823,00;2233,00
"PIEMONTE 1";"Torino 8";"Torino 8";92246,00;44013,00;78659,00;37937,00;74162,00;2091,00
"PIEMONTE 1";"Ivrea";"AGLIE'";2211,00;1048,00;1778,00;874,00;1637,00;49,00
"PIEMONTE 1";"Ivrea";"ALBIANO D'IVREA";1464,00;710,00;1306,00;646,00;1170,00;65,00
"PIEMONTE 1";"Ivrea";"ALICE SUPERIORE";515,00;245,00;435,00;214,00;393,00;20,00
"PIEMONTE 1";"Ivrea";"ANDRATE";430,00;221,00;334,00;181,00;295,00;23,00
"PIEMONTE 1";"Ivrea";"AZEGLIO";1056,00;504,00;846,00;426,00;785,00;23,00
"PIEMONTE 1";"Ivrea";"BAIRO";673,00;333,00;534,00;269,00;473,00;34,00
"PIEMONTE 1";"Ivrea";"BALDISSERO CANAVESE";451,00;221,00;389,00;194,00;362,00;11,00
"PIEMONTE 1";"Ivrea";"BANCHETTE";3027,00;1428,00;2506,00;1194,00;2372,00;57,00
"PIEMONTE 1";"Ivrea";"BARONE CANAVESE";544,00;268,00;447,00;227,00;415,00;13,00
"PIEMONTE 1";"Ivrea";"BOLLENGO";1778,00;896,00;1488,00;769,00;1319,00;103,00
"PIEMONTE 1";"Ivrea";"BORGIALLO";449,00;220,00;363,00;176,00;321,00;16,00
"PIEMONTE 1";"Ivrea";"BORGOFRANCO D'IVREA";3172,00;1515,00;2643,00;1289,00;2466,00;70,00
"PIEMONTE 1";"Ivrea";"BORGOMASINO";725,00;343,00;547,00;277,00;499,00;23,00
"PIEMONTE 1";"Ivrea";"BROSSO";411,00;199,00;363,00;180,00;303,00;36,00
"PIEMONTE 1";"Ivrea";"BUROLO";1169,00;568,00;972,00;484,00;914,00;28,00
"PIEMONTE 1";"Ivrea";"CANDIA CANAVESE";1147,00;544,00;942,00;458,00;851,00;44,00
"PIEMONTE 1";"Ivrea";"CARAVINO";932,00;462,00;777,00;397,00;713,00;26,00
"PIEMONTE 1";"Ivrea";"CAREMA";672,00;310,00;487,00;238,00;435,00;37,00
"PIEMONTE 1";"Ivrea";"CASCINETTE D'IVREA";1292,00;625,00;1069,00;528,00;1001,00;34,00
"PIEMONTE 1";"Ivrea";"CASTELLAMONTE";7820,00;3743,00;6352,00;3117,00;5744,00;265,00
"PIEMONTE 1";"Ivrea";"CASTELNUOVO NIGRA";419,00;207,00;337,00;170,00;299,00;23,00
"PIEMONTE 1";"Ivrea";"CHIAVERANO";1944,00;934,00;1630,00;817,00;1524,00;34,00
"PIEMONTE 1";"Ivrea";"CHIESANUOVA";183,00;83,00;148,00;71,00;129,00;11,00
"PIEMONTE 1";"Ivrea";"CINTANO";225,00;106,00;174,00;86,00;162,00;9,00
"PIEMONTE 1";"Ivrea";"COLLERETTO CASTELNUOVO";282,00;126,00;229,00;109,00;209,00;5,00
"PIEMONTE 1";"Ivrea";"COLLERETTO GIACOSA";536,00;241,00;452,00;214,00;426,00;12,00
"PIEMONTE 1";"Ivrea";"COSSANO CANAVESE";462,00;222,00;400,00;196,00;373,00;3,00
"PIEMONTE 1";"Ivrea";"CUCEGLIO";826,00;408,00;702,00;356,00;625,00;42,00
