"circ";"coll";"comune";"elettoritot";"elettorimaschi";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"VOTIVALIDI";"SKBIANCHE"
"PIEMONTE 1";"Ivrea";"FIORANO CANAVESE";762,00;392,00;650,00;335,00;588,00;16,00
"PIEMONTE 1";"Ivrea";"ISSIGLIO";372,00;188,00;297,00;150,00;251,00;21,00
"PIEMONTE 1";"Ivrea";"IVREA";21210,00;9933,00;17682,00;8444,00;16670,00;424,00
"PIEMONTE 1";"Ivrea";"LESSOLO";1718,00;816,00;1406,00;685,00;1300,00;36,00
"PIEMONTE 1";"Ivrea";"LORANZE'";885,00;428,00;757,00;377,00;709,00;20,00
"PIEMONTE 1";"Ivrea";"LUGNACCO";318,00;157,00;247,00;133,00;228,00;14,00
"PIEMONTE 1";"Ivrea";"MAGLIONE";429,00;215,00;350,00;181,00;315,00;21,00
"PIEMONTE 1";"Ivrea";"MERCENASCO";1033,00;507,00;870,00;433,00;816,00;23,00
"PIEMONTE 1";"Ivrea";"MEUGLIANO";109,00;57,00;77,00;45,00;71,00;1,00
"PIEMONTE 1";"Ivrea";"MONTALENGHE";757,00;364,00;637,00;319,00;597,00;23,00
"PIEMONTE 1";"Ivrea";"MONTALTO DORA";2965,00;1448,00;2506,00;1249,00;2354,00;73,00
"PIEMONTE 1";"Ivrea";"NOMAGLIO";331,00;162,00;253,00;121,00;217,00;15,00
"PIEMONTE 1";"Ivrea";"ORIO CANAVESE";714,00;355,00;601,00;304,00;566,00;17,00
"PIEMONTE 1";"Ivrea";"PALAZZO CANAVESE";681,00;330,00;572,00;287,00;531,00;20,00
"PIEMONTE 1";"Ivrea";"PARELLA";412,00;190,00;358,00;166,00;339,00;9,00
"PIEMONTE 1";"Ivrea";"PAVONE CANAVESE";3353,00;1686,00;2854,00;1465,00;2687,00;61,00
"PIEMONTE 1";"Ivrea";"PECCO";206,00;100,00;164,00;89,00;145,00;12,00
"PIEMONTE 1";"Ivrea";"PEROSA CANAVESE";469,00;224,00;398,00;192,00;368,00;14,00
"PIEMONTE 1";"Ivrea";"PIVERONE";1017,00;481,00;875,00;426,00;807,00;23,00
"PIEMONTE 1";"Ivrea";"QUAGLIUZZO";275,00;141,00;233,00;122,00;211,00;10,00
"PIEMONTE 1";"Ivrea";"QUASSOLO";356,00;162,00;288,00;130,00;261,00;8,00
"PIEMONTE 1";"Ivrea";"QUINCINETTO";950,00;474,00;813,00;414,00;738,00;39,00
"PIEMONTE 1";"Ivrea";"ROMANO CANAVESE";2492,00;1203,00;2075,00;1013,00;1924,00;60,00
"PIEMONTE 1";"Ivrea";"RUEGLIO";735,00;344,00;458,00;218,00;397,00;25,00
"PIEMONTE 1";"Ivrea";"SALERANO CANAVESE";451,00;217,00;387,00;185,00;349,00;20,00
"PIEMONTE 1";"Ivrea";"SAMONE";1264,00;616,00;1076,00;537,00;986,00;45,00
"PIEMONTE 1";"Ivrea";"SAN GIORGIO CANAVESE";2074,00;1016,00;1749,00;880,00;1584,00;88,00
"PIEMONTE 1";"Ivrea";"SAN GIUSTO CANAVESE";2682,00;1266,00;2198,00;1080,00;1997,00;87,00
"PIEMONTE 1";"Ivrea";"SAN MARTINO CANAVESE";673,00;329,00;572,00;289,00;537,00;18,00
"PIEMONTE 1";"Ivrea";"SCARMAGNO";641,00;308,00;544,00;271,00;505,00;18,00
"PIEMONTE 1";"Ivrea";"SETTIMO ROTTARO";459,00;223,00;420,00;208,00;365,00;32,00
"PIEMONTE 1";"Ivrea";"SETTIMO VITTONE";1397,00;687,00;1093,00;552,00;983,00;47,00
"PIEMONTE 1";"Ivrea";"STRAMBINELLO";216,00;104,00;174,00;86,00;163,00;5,00
"PIEMONTE 1";"Ivrea";"STRAMBINO";5248,00;2483,00;4437,00;2167,00;4130,00;124,00
"PIEMONTE 1";"Ivrea";"TAVAGNASCO";704,00;333,00;528,00;259,00;472,00;28,00
"PIEMONTE 1";"Ivrea";"TORRE CANAVESE";573,00;272,00;443,00;209,00;414,00;15,00
"PIEMONTE 1";"Ivrea";"TRAUSELLA";134,00;72,00;79,00;44,00;68,00;7,00
"PIEMONTE 1";"Ivrea";"TRAVERSELLA";378,00;179,00;260,00;132,00;233,00;13,00
"PIEMONTE 1";"Ivrea";"VESTIGNE'";756,00;358,00;652,00;325,00;603,00;25,00
"PIEMONTE 1";"Ivrea";"VIALFRE'";208,00;102,00;190,00;95,00;176,00;12,00
"PIEMONTE 1";"Ivrea";"VICO CANAVESE";817,00;403,00;571,00;281,00;515,00;25,00
"PIEMONTE 1";"Ivrea";"VIDRACCO";456,00;220,00;403,00;201,00;383,00;14,00
"PIEMONTE 1";"Ivrea";"VISCHE";1232,00;605,00;990,00;510,00;898,00;53,00
"PIEMONTE 1";"Ivrea";"VISTRORIO";441,00;207,00;376,00;181,00;343,00;18,00
"PIEMONTE 1";"Chivasso";"BRANDIZZO";6356,00;3062,00;5516,00;2719,00;5137,00;135,00
"PIEMONTE 1";"Chivasso";"BROZOLO";404,00;212,00;325,00;172,00;292,00;21,00
"PIEMONTE 1";"Chivasso";"BRUSASCO";1384,00;677,00;1208,00;596,00;1058,00;85,00
"PIEMONTE 1";"Chivasso";"CALUSO";6239,00;2938,00;5382,00;2607,00;5047,00;103,00
"PIEMONTE 1";"Chivasso";"CASALBORGONE";1420,00;692,00;1142,00;574,00;1039,00;45,00
"PIEMONTE 1";"Chivasso";"CASTAGNETO PO";1217,00;599,00;1052,00;550,00;1010,00;18,00
"PIEMONTE 1";"Chivasso";"CAVAGNOLO";1932,00;914,00;1609,00;801,00;1481,00;62,00
"PIEMONTE 1";"Chivasso";"CHIVASSO";20388,00;9880,00;17157,00;8482,00;15998,00;436,00
"PIEMONTE 1";"Chivasso";"FOGLIZZO";1824,00;872,00;1520,00;747,00;1399,00;51,00
"PIEMONTE 1";"Chivasso";"LAURIANO";1234,00;594,00;1087,00;539,00;951,00;82,00
"PIEMONTE 1";"Chivasso";"LEINI";10079,00;4982,00;8877,00;4418,00;8357,00;192,00
"PIEMONTE 1";"Chivasso";"LOMBARDORE";1269,00;648,00;1092,00;575,00;1025,00;33,00
"PIEMONTE 1";"Chivasso";"MAZZE'";3412,00;1651,00;2897,00;1454,00;2663,00;103,00
"PIEMONTE 1";"Chivasso";"MONTANARO";4697,00;2280,00;3918,00;1931,00;3587,00;146,00
"PIEMONTE 1";"Chivasso";"MONTEU DA PO";736,00;359,00;634,00;319,00;579,00;16,00
"PIEMONTE 1";"Chivasso";"RIVAROSSA";1166,00;569,00;972,00;481,00;889,00;40,00
"PIEMONTE 1";"Chivasso";"RONDISSONE";1434,00;697,00;1229,00;604,00;1134,00;38,00
"PIEMONTE 1";"Chivasso";"SAN BENIGNO CANAVESE";4358,00;2165,00;3670,00;1849,00;3445,00;86,00
"PIEMONTE 1";"Chivasso";"SAN RAFFAELE CIMENA";2363,00;1169,00;2053,00;1025,00;1920,00;55,00
"PIEMONTE 1";"Chivasso";"SAN SEBASTIANO DA PO";1564,00;768,00;1308,00;661,00;1209,00;41,00
"PIEMONTE 1";"Chivasso";"TORRAZZA PIEMONTE";2076,00;994,00;1787,00;867,00;1647,00;56,00
"PIEMONTE 1";"Chivasso";"VEROLENGO";3866,00;1872,00;3342,00;1657,00;3023,00;135,00
"PIEMONTE 1";"Chivasso";"VERRUA SAVOIA";1251,00;623,00;1002,00;524,00;904,00;50,00
"PIEMONTE 1";"Chivasso";"VILLAREGGIA";851,00;413,00;763,00;377,00;677,00;42,00
"PIEMONTE 1";"Chivasso";"VOLPIANO";10896,00;5249,00;9302,00;4566,00;8565,00;386,00
"PIEMONTE 1";"Settimo Torinese";"ANDEZENO";1430,00;687,00;1243,00;615,00;1138,00;47,00
"PIEMONTE 1";"Settimo Torinese";"ARIGNANO";723,00;360,00;615,00;318,00;566,00;34,00
"PIEMONTE 1";"Settimo Torinese";"CASTIGLIONE TORINESE";4606,00;2223,00;4025,00;1965,00;3816,00;94,00
"PIEMONTE 1";"Settimo Torinese";"CHIERI";27751,00;13250,00;23684,00;11469,00;22291,00;584,00
"PIEMONTE 1";"Settimo Torinese";"CINZANO";288,00;140,00;251,00;122,00;230,00;13,00
"PIEMONTE 1";"Settimo Torinese";"GASSINO TORINESE";7628,00;3742,00;6555,00;3301,00;6185,00;159,00
"PIEMONTE 1";"Settimo Torinese";"MARENTINO";951,00;474,00;801,00;405,00;754,00;27,00
"PIEMONTE 1";"Settimo Torinese";"MOMBELLO DI TORINO";312,00;153,00;300,00;148,00;256,00;28,00
"PIEMONTE 1";"Settimo Torinese";"MONTALDO TORINESE";486,00;241,00;438,00;222,00;385,00;32,00
"PIEMONTE 1";"Settimo Torinese";"MORIONDO TORINESE";663,00;329,00;571,00;288,00;524,00;23,00
"PIEMONTE 1";"Settimo Torinese";"PAVAROLO";764,00;384,00;654,00;337,00;614,00;19,00
"PIEMONTE 1";"Settimo Torinese";"RIVALBA";831,00;401,00;739,00;372,00;672,00;37,00
"PIEMONTE 1";"Settimo Torinese";"RIVA PRESSO CHIERI";3151,00;1564,00;2749,00;1395,00;2527,00;100,00
"PIEMONTE 1";"Settimo Torinese";"SAN MAURO TORINESE";15226,00;7375,00;13545,00;6614,00;12534,00;493,00
"PIEMONTE 1";"Settimo Torinese";"SCIOLZE";1239,00;640,00;1070,00;575,00;1031,00;22,00
"PIEMONTE 1";"Settimo Torinese";"SETTIMO TORINESE";39610,00;19365,00;34436,00;17048,00;32427,00;761,00
"PIEMONTE 1";"Moncalieri";"BALDISSERO TORINESE";2688,00;1320,00;2329,00;1167,00;2177,00;68,00
"PIEMONTE 1";"Moncalieri";"CAMBIANO";4857,00;2324,00;4329,00;2099,00;3946,00;197,00
"PIEMONTE 1";"Moncalieri";"ISOLABELLA";327,00;159,00;286,00;140,00;272,00;3,00
"PIEMONTE 1";"Moncalieri";"MONCALIERI";47358,00;22774,00;41455,00;20116,00;38961,00;935,00
"PIEMONTE 1";"Moncalieri";"PECETTO TORINESE";3072,00;1481,00;2706,00;1329,00;2574,00;67,00
"PIEMONTE 1";"Moncalieri";"PINO TORINESE";7339,00;3483,00;6371,00;3069,00;6057,00;160,00
"PIEMONTE 1";"Moncalieri";"POIRINO";7567,00;3809,00;6558,00;3351,00;6061,00;229,00
"PIEMONTE 1";"Moncalieri";"PRALORMO";1502,00;722,00;1247,00;617,00;1147,00;53,00
"PIEMONTE 1";"Moncalieri";"SANTENA";8485,00;4197,00;7426,00;3730,00;6888,00;205,00
"PIEMONTE 1";"Moncalieri";"TROFARELLO";8594,00;4132,00;7622,00;3712,00;6971,00;279,00
"PIEMONTE 1";"Moncalieri";"VILLASTELLONE";3856,00;1883,00;3393,00;1687,00;3172,00;87,00
"PIEMONTE 1";"Nichelino";"CANDIOLO";4213,00;2085,00;3770,00;1881,00;3546,00;83,00
"PIEMONTE 1";"Nichelino";"CARIGNANO";7408,00;3556,00;6405,00;3137,00;5797,00;277,00
"PIEMONTE 1";"Nichelino";"CARMAGNOLA";20630,00;10097,00;17962,00;8931,00;16083,00;1037,00
"PIEMONTE 1";"Nichelino";"CASTAGNOLE PIEMONTE";1541,00;763,00;1323,00;660,00;1185,00;67,00
"PIEMONTE 1";"Nichelino";"CERCENASCO";1476,00;720,00;1272,00;624,00;1169,00;45,00
"PIEMONTE 1";"Nichelino";"LA LOGGIA";5451,00;2706,00;4833,00;2410,00;4515,00;102,00
"PIEMONTE 1";"Nichelino";"LOMBRIASCO";811,00;400,00;698,00;347,00;638,00;26,00
"PIEMONTE 1";"Nichelino";"NICHELINO";39737,00;19618,00;34690,00;17290,00;32410,00;738,00
"PIEMONTE 1";"Nichelino";"NONE";6329,00;3181,00;5494,00;2784,00;5141,00;141,00
"PIEMONTE 1";"Nichelino";"OSASIO";609,00;311,00;543,00;284,00;511,00;15,00
"PIEMONTE 1";"Nichelino";"PANCALIERI";1523,00;725,00;1307,00;633,00;1197,00;61,00
"PIEMONTE 1";"Nichelino";"PIOBESI TORINESE";2680,00;1305,00;2393,00;1191,00;2224,00;61,00
"PIEMONTE 1";"Nichelino";"VIGONE";4361,00;2125,00;3617,00;1819,00;3326,00;138,00
"PIEMONTE 1";"Nichelino";"VINOVO";11357,00;5620,00;10203,00;5112,00;9550,00;261,00
"PIEMONTE 1";"Nichelino";"VIRLE PIEMONTE";888,00;452,00;740,00;390,00;689,00;19,00
"PIEMONTE 1";"Rivoli";"AIRASCA";2956,00;1509,00;2462,00;1250,00;2314,00;55,00
"PIEMONTE 1";"Rivoli";"BEINASCO";15466,00;7576,00;13630,00;6735,00;12882,00;277,00
"PIEMONTE 1";"Rivoli";"BRUINO";6059,00;3035,00;5379,00;2718,00;5148,00;71,00
"PIEMONTE 1";"Rivoli";"ORBASSANO";18252,00;8940,00;16103,00;8006,00;15169,00;388,00
"PIEMONTE 1";"Rivoli";"RIVALTA DI TORINO";14620,00;7273,00;12998,00;6540,00;12361,00;249,00
"PIEMONTE 1";"Rivoli";"RIVOLI";44085,00;21484,00;38291,00;18913,00;36504,00;708,00
"PIEMONTE 1";"Rivoli";"SCALENGHE";2592,00;1309,00;2242,00;1151,00;2025,00;92,00
"PIEMONTE 1";"Rivoli";"VOLVERA";5657,00;2802,00;4842,00;2431,00;4490,00;116,00
"PIEMONTE 1";"Collegno";"ALPIGNANO";14601,00;7080,00;12587,00;6179,00;11917,00;261,00
"PIEMONTE 1";"Collegno";"COLLEGNO";40940,00;19740,00;35569,00;17311,00;33933,00;619,00
"PIEMONTE 1";"Collegno";"GRUGLIASCO";33627,00;16276,00;29226,00;14329,00;27764,00;552,00
"PIEMONTE 1";"Collegno";"PIANEZZA";9538,00;4598,00;8502,00;4152,00;7938,00;278,00
"PIEMONTE 1";"Venaria Reale";"BORGARO TORINESE";10401,00;5160,00;9287,00;4621,00;8769,00;200,00
"PIEMONTE 1";"Venaria Reale";"CASELLE TORINESE";13086,00;6451,00;11219,00;5600,00;10520,00;257,00
"PIEMONTE 1";"Venaria Reale";"CIRIE'";15484,00;7414,00;13520,00;6569,00;12317,00;582,00
"PIEMONTE 1";"Venaria Reale";"DRUENTO";6944,00;3377,00;6067,00;3004,00;5774,00;129,00
"PIEMONTE 1";"Venaria Reale";"FIANO";2242,00;1079,00;1998,00;992,00;1839,00;73,00
"PIEMONTE 1";"Venaria Reale";"GROSSO";822,00;384,00;710,00;338,00;660,00;20,00
"PIEMONTE 1";"Venaria Reale";"NOLE";5340,00;2549,00;4479,00;2207,00;4160,00;141,00
"PIEMONTE 1";"Venaria Reale";"ROBASSOMERO";2475,00;1229,00;2162,00;1088,00;2042,00;58,00
"PIEMONTE 1";"Venaria Reale";"SAN CARLO CANAVESE";2999,00;1451,00;2605,00;1283,00;2417,00;83,00
"PIEMONTE 1";"Venaria Reale";"SAN FRANCESCO AL CAMPO";3597,00;1775,00;3066,00;1556,00;2790,00;113,00
"PIEMONTE 1";"Venaria Reale";"SAN MAURIZIO CANAVESE";6100,00;2956,00;5245,00;2590,00;4840,00;152,00
"PIEMONTE 1";"Venaria Reale";"VENARIA REALE";30046,00;14611,00;26172,00;12947,00;24938,00;440,00
"PIEMONTE 1";"Venaria Reale";"VILLANOVA CANAVESE";829,00;392,00;700,00;341,00;631,00;32,00
"PIEMONTE 1";"Rivarolo Canavese";"ALA DI STURA";413,00;207,00;325,00;167,00;292,00;11,00
"PIEMONTE 1";"Rivarolo Canavese";"ALPETTE";269,00;129,00;222,00;111,00;203,00;11,00
"PIEMONTE 1";"Rivarolo Canavese";"BALANGERO";2666,00;1290,00;2257,00;1114,00;2099,00;64,00
"PIEMONTE 1";"Rivarolo Canavese";"BALME";98,00;54,00;78,00;49,00;72,00;4,00
"PIEMONTE 1";"Rivarolo Canavese";"BARBANIA";1248,00;613,00;1025,00;514,00;931,00;32,00
"PIEMONTE 1";"Rivarolo Canavese";"BOSCONERO";2477,00;1226,00;2030,00;1033,00;1879,00;57,00
"PIEMONTE 1";"Rivarolo Canavese";"BUSANO";1120,00;541,00;919,00;456,00;836,00;34,00
"PIEMONTE 1";"Rivarolo Canavese";"CAFASSE";3048,00;1482,00;2535,00;1272,00;2340,00;78,00
"PIEMONTE 1";"Rivarolo Canavese";"CANISCHIO";250,00;123,00;198,00;103,00;185,00;7,00
"PIEMONTE 1";"Rivarolo Canavese";"CANTOIRA";489,00;231,00;386,00;191,00;357,00;13,00
"PIEMONTE 1";"Rivarolo Canavese";"CASELETTE";2224,00;1093,00;1993,00;988,00;1890,00;47,00
"PIEMONTE 1";"Rivarolo Canavese";"CERES";894,00;462,00;760,00;400,00;676,00;29,00
"PIEMONTE 1";"Rivarolo Canavese";"CERESOLE REALE";141,00;71,00;113,00;63,00;95,00;9,00
"PIEMONTE 1";"Rivarolo Canavese";"CHIALAMBERTO";338,00;184,00;260,00;147,00;234,00;11,00
"PIEMONTE 1";"Rivarolo Canavese";"CICONIO";290,00;144,00;259,00;131,00;225,00;16,00
"PIEMONTE 1";"Rivarolo Canavese";"COASSOLO TORINESE";1243,00;629,00;1002,00;515,00;919,00;39,00
"PIEMONTE 1";"Rivarolo Canavese";"CORIO";2702,00;1329,00;2101,00;1059,00;1916,00;80,00
"PIEMONTE 1";"Rivarolo Canavese";"CUORGNE'";8496,00;4087,00;7120,00;3528,00;6547,00;249,00
"PIEMONTE 1";"Rivarolo Canavese";"FAVRIA";3567,00;1726,00;3090,00;1512,00;2681,00;215,00
"PIEMONTE 1";"Rivarolo Canavese";"FELETTO";1962,00;939,00;1552,00;749,00;1384,00;92,00
"PIEMONTE 1";"Rivarolo Canavese";"FORNO CANAVESE";3271,00;1559,00;2509,00;1222,00;2267,00;115,00
"PIEMONTE 1";"Rivarolo Canavese";"FRASSINETTO";256,00;132,00;212,00;114,00;153,00;38,00
"PIEMONTE 1";"Rivarolo Canavese";"FRONT";1390,00;684,00;1184,00;609,00;1074,00;44,00
"PIEMONTE 1";"Rivarolo Canavese";"GERMAGNANO";1103,00;537,00;925,00;463,00;849,00;22,00
"PIEMONTE 1";"Rivarolo Canavese";"GIVOLETTO";1842,00;934,00;1605,00;815,00;1533,00;31,00
"PIEMONTE 1";"Rivarolo Canavese";"GROSCAVALLO";221,00;112,00;175,00;94,00;155,00;9,00
"PIEMONTE 1";"Rivarolo Canavese";"INGRIA";82,00;37,00;52,00;24,00;43,00;5,00
"PIEMONTE 1";"Rivarolo Canavese";"LA CASSA";1083,00;532,00;984,00;493,00;928,00;18,00
"PIEMONTE 1";"Rivarolo Canavese";"LANZO TORINESE";4382,00;2083,00;3794,00;1836,00;3438,00;192,00
"PIEMONTE 1";"Rivarolo Canavese";"LEMIE";223,00;108,00;140,00;76,00;115,00;7,00
"PIEMONTE 1";"Rivarolo Canavese";"LEVONE";426,00;204,00;350,00;177,00;311,00;22,00
"PIEMONTE 1";"Rivarolo Canavese";"LOCANA";1649,00;799,00;1280,00;648,00;1113,00;72,00
"PIEMONTE 1";"Rivarolo Canavese";"LUSIGLIE'";442,00;208,00;385,00;186,00;342,00;16,00
"PIEMONTE 1";"Rivarolo Canavese";"MATHI";3516,00;1650,00;2906,00;1401,00;2661,00;101,00
"PIEMONTE 1";"Rivarolo Canavese";"MEZZENILE";827,00;411,00;591,00;303,00;530,00;24,00
"PIEMONTE 1";"Rivarolo Canavese";"MONASTERO DI LANZO";368,00;179,00;302,00;154,00;258,00;13,00
"PIEMONTE 1";"Rivarolo Canavese";"NOASCA";192,00;91,00;160,00;80,00;124,00;25,00
"PIEMONTE 1";"Rivarolo Canavese";"OGLIANICO";1040,00;506,00;889,00;441,00;828,00;32,00
"PIEMONTE 1";"Rivarolo Canavese";"OZEGNA";1015,00;495,00;902,00;449,00;760,00;83,00
"PIEMONTE 1";"Rivarolo Canavese";"PERTUSIO";594,00;291,00;557,00;274,00;476,00;50,00
"PIEMONTE 1";"Rivarolo Canavese";"PESSINETTO";554,00;263,00;436,00;222,00;403,00;12,00
"PIEMONTE 1";"Rivarolo Canavese";"PONT-CANAVESE";3346,00;1574,00;2643,00;1285,00;2407,00;133,00
"PIEMONTE 1";"Rivarolo Canavese";"PRASCORSANO";657,00;329,00;530,00;276,00;476,00;30,00
"PIEMONTE 1";"Rivarolo Canavese";"PRATIGLIONE";513,00;250,00;379,00;196,00;335,00;24,00
"PIEMONTE 1";"Rivarolo Canavese";"RIBORDONE";84,00;31,00;62,00;29,00;55,00;6,00
"PIEMONTE 1";"Rivarolo Canavese";"RIVARA";2291,00;1118,00;1920,00;961,00;1720,00;79,00
"PIEMONTE 1";"Rivarolo Canavese";"RIVAROLO CANAVESE";10378,00;4980,00;8425,00;4119,00;7786,00;262,00
"PIEMONTE 1";"Rivarolo Canavese";"ROCCA CANAVESE";1399,00;678,00;1154,00;572,00;1036,00;57,00
"PIEMONTE 1";"Rivarolo Canavese";"RONCO CANAVESE";942,00;477,00;315,00;169,00;275,00;29,00
"PIEMONTE 1";"Rivarolo Canavese";"SALASSA";1407,00;688,00;1192,00;596,00;1074,00;65,00
"PIEMONTE 1";"Rivarolo Canavese";"SAN COLOMBANO BELMONTE";325,00;157,00;258,00;132,00;243,00;8,00
"PIEMONTE 1";"Rivarolo Canavese";"SAN GILLIO";2167,00;1042,00;1910,00;935,00;1801,00;33,00
"PIEMONTE 1";"Rivarolo Canavese";"SAN PONSO";226,00;105,00;176,00;86,00;158,00;9,00
"PIEMONTE 1";"Rivarolo Canavese";"SPARONE";1020,00;495,00;796,00;393,00;718,00;42,00
"PIEMONTE 1";"Rivarolo Canavese";"TRAVES";488,00;247,00;414,00;218,00;384,00;11,00
"PIEMONTE 1";"Rivarolo Canavese";"USSEGLIO";228,00;109,00;153,00;81,00;126,00;13,00
"PIEMONTE 1";"Rivarolo Canavese";"VAL DELLA TORRE";2956,00;1501,00;2557,00;1311,00;2407,00;55,00
"PIEMONTE 1";"Rivarolo Canavese";"VALLO TORINESE";629,00;306,00;543,00;270,00;494,00;23,00
"PIEMONTE 1";"Rivarolo Canavese";"VALPERGA";2756,00;1269,00;2279,00;1079,00;2085,00;89,00
"PIEMONTE 1";"Rivarolo Canavese";"VALPRATO SOANA";238,00;116,00;106,00;57,00;99,00;6,00
"PIEMONTE 1";"Rivarolo Canavese";"VARISELLA";605,00;294,00;502,00;253,00;448,00;18,00
"PIEMONTE 1";"Rivarolo Canavese";"VAUDA CANAVESE";1189,00;586,00;1006,00;501,00;935,00;29,00
"PIEMONTE 1";"Rivarolo Canavese";"VIU'";1067,00;524,00;817,00;425,00;722,00;36,00
"PIEMONTE 1";"Giaveno";"ALMESE";4768,00;2317,00;4060,00;1999,00;3821,00;104,00
"PIEMONTE 1";"Giaveno";"AVIGLIANA";9461,00;4649,00;7976,00;3986,00;7509,00;182,00
"PIEMONTE 1";"Giaveno";"BARDONECCHIA";2609,00;1271,00;2238,00;1102,00;2054,00;106,00
"PIEMONTE 1";"Giaveno";"BORGONE SUSA";1927,00;937,00;1559,00;786,00;1421,00;50,00
"PIEMONTE 1";"Giaveno";"BRUZOLO";1154,00;557,00;968,00;470,00;903,00;25,00
"PIEMONTE 1";"Giaveno";"BUSSOLENO";5499,00;2644,00;4401,00;2168,00;4060,00;142,00
"PIEMONTE 1";"Giaveno";"BUTTIGLIERA ALTA";5532,00;2670,00;4852,00;2365,00;4659,00;71,00
"PIEMONTE 1";"Giaveno";"CAPRIE";1582,00;771,00;1343,00;665,00;1233,00;40,00
"PIEMONTE 1";"Giaveno";"CESANA TORINESE";822,00;432,00;661,00;353,00;616,00;18,00
"PIEMONTE 1";"Giaveno";"CHIANOCCO";1421,00;694,00;1190,00;593,00;1102,00;30,00
"PIEMONTE 1";"Giaveno";"CHIOMONTE";895,00;447,00;715,00;368,00;668,00;24,00
