"CIRCOSCRIZIONE";"COLLEGIOPLURINOM";"COLLEGIOUNINOM";"ELETTORITOTALI";"ELETTORIMASCHI";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"SKBIANCHE";"VOTIVALIDILISTE";"VOTIVALIDICAND";"SKNONVALIDE"
"ABRUZZO";"ABRUZZO - 02";"01 - L'AQUILA";197966,00;97103,00;147985,00;74946,00;1572,00;142833,00;142833,00;5152,00
"CAMPANIA 2";"CAMPANIA 2 - 02";"05 - AVERSA";247277,00;120117,00;169008,00;86370,00;1906,00;163778,00;163778,00;5230,00
"CAMPANIA 2";"CAMPANIA 2 - 03";"07 - SCAFATI";228701,00;110614,00;164748,00;82956,00;2015,00;158926,00;158926,00;5822,00
"CAMPANIA 2";"CAMPANIA 2 - 03";"08 - SALERNO";235773,00;112408,00;171604,00;86045,00;2191,00;165591,00;165591,00;6013,00
"CAMPANIA 2";"CAMPANIA 2 - 03";"09 - BATTIPAGLIA";198111,00;96642,00;142636,00;73124,00;2237,00;137295,00;137295,00;5341,00
"CAMPANIA 2";"CAMPANIA 2 - 03";"10 - AGROPOLI";197876,00;96682,00;137622,00;71073,00;3189,00;130919,00;130919,00;6703,00
"PUGLIA";"PUGLIA - 01";"01 - BARI - CIRCOSCRIZIONE 8 LIBERTA-MARCONI-SAN GIROLAMO-FESCA";179414,00;83691,00;123277,00;60930,00;664,00;120006,00;120006,00;3271,00
"PUGLIA";"PUGLIA - 01";"02 - BARI - BITONTO";247798,00;119990,00;172150,00;87868,00;1111,00;167462,00;167462,00;4688,00
"PUGLIA";"PUGLIA - 01";"03 - MOLFETTA";190165,00;92008,00;128443,00;65161,00;1155,00;124273,00;124273,00;4170,00
"PUGLIA";"PUGLIA - 01";"05 - ALTAMURA";212628,00;103459,00;154266,00;78647,00;1293,00;149671,00;149671,00;4595,00
"PUGLIA";"PUGLIA - 02";"07 - LECCE";213948,00;99965,00;150111,00;73606,00;1889,00;144695,00;144695,00;5416,00
"PUGLIA";"PUGLIA - 02";"08 - NARDO";217971,00;103195,00;154132,00;76264,00;2379,00;148427,00;148427,00;5705,00
"PUGLIA";"PUGLIA - 02";"09 - CASARANO";220837,00;104596,00;153559,00;76882,00;2504,00;147803,00;147803,00;5756,00
"PUGLIA";"PUGLIA - 02";"12 - FRANCAVILLA FONTANA";191520,00;91408,00;130929,00;66270,00;1836,00;125835,00;125835,00;5094,00
"PUGLIA";"PUGLIA - 03";"06 - MONOPOLI";243467,00;117997,00;175316,00;89040,00;1891,00;169862,00;169862,00;5454,00
"PUGLIA";"PUGLIA - 03";"10 - TARANTO";200344,00;94682,00;130779,00;66227,00;1112,00;127184,00;127184,00;3595,00
"PUGLIA";"PUGLIA - 03";"11 - MARTINA FRANCA";220143,00;106312,00;154883,00;79129,00;1825,00;149577,00;149577,00;5306,00
"PUGLIA";"PUGLIA - 03";"13 - BRINDISI";183485,00;86797,00;126030,00;62631,00;1576,00;121654,00;121654,00;4376,00
"PUGLIA";"PUGLIA - 04";"04 - ANDRIA";223455,00;109514,00;155094,00;79923,00;1405,00;150338,00;150338,00;4756,00
"PUGLIA";"PUGLIA - 04";"14 - SAN SEVERO";158112,00;76066,00;106322,00;54639,00;1189,00;102583,00;102583,00;3739,00
"PUGLIA";"PUGLIA - 04";"15 - CERIGNOLA";180490,00;88149,00;118569,00;61637,00;1080,00;115260,00;115260,00;3309,00
"PUGLIA";"PUGLIA - 04";"16 - FOGGIA";184387,00;88181,00;123768,00;62981,00;1021,00;119530,00;119530,00;4238,00
"BASILICATA";"BASILICATA - 01";"01 - POTENZA";211501,00;102520,00;152087,00;77471,00;3181,00;144272,00;144272,00;7815,00
"BASILICATA";"BASILICATA - 01";"02 - MATERA";251267,00;122663,00;177000,00;91079,00;2488,00;169447,00;169447,00;7553,00
"CALABRIA";"CALABRIA - 01";"01 - CASTROVILLARI";194722,00;94869,00;127665,00;65706,00;2661,00;121320,00;121320,00;6345,00
"CALABRIA";"CALABRIA - 01";"02 - CORIGLIANO CALABRO";177377,00;86422,00;109489,00;57073,00;2012,00;105065,00;105065,00;4424,00
"CALABRIA";"CALABRIA - 01";"03 - COSENZA";196734,00;94716,00;137104,00;69790,00;1957,00;131210,00;131210,00;5894,00
"CALABRIA";"CALABRIA - 01";"05 - CROTONE";177318,00;85982,00;108519,00;56767,00;1610,00;104601,00;104601,00;3918,00
"CALABRIA";"CALABRIA - 02";"04 - CATANZARO";187577,00;89922,00;120819,00;62162,00;1621,00;115945,00;115945,00;4874,00
"CALABRIA";"CALABRIA - 02";"06 - VIBO VALENTIA";188252,00;91570,00;121906,00;62823,00;2215,00;116206,00;116206,00;5700,00
"CALABRIA";"CALABRIA - 02";"07 - GIOIA TAURO";205047,00;98351,00;123557,00;63352,00;2029,00;117521,00;117521,00;6036,00
"CALABRIA";"CALABRIA - 02";"08 - REGGIO DI CALABRIA";214539,00;101757,00;131986,00;67155,00;1578,00;125842,00;125842,00;6144,00
"SICILIA 1";"SICILIA 1 - 01";"01 - PALERMO - RESUTTANA-SAN LORENZO";188665,00;89444,00;116512,00;58326,00;546,00;112940,00;112940,00;3572,00
"SICILIA 1";"SICILIA 1 - 01";"02 - PALERMO - LIBERTA";177659,00;81706,00;109875,00;53698,00;533,00;106739,00;106739,00;3136,00
"SICILIA 1";"SICILIA 1 - 01";"03 - PALERMO - SETTECANNOLI";182683,00;85869,00;106004,00;53705,00;603,00;101892,00;101892,00;4112,00
"SICILIA 1";"SICILIA 1 - 02";"05 - BAGHERIA";209518,00;101145,00;131886,00;67831,00;1734,00;126147,00;126147,00;5739,00
"SICILIA 1";"SICILIA 1 - 02";"06 - MONREALE";249588,00;121016,00;155666,00;80330,00;1638,00;149774,00;149774,00;5892,00
"SICILIA 1";"SICILIA 1 - 02";"08 - MARSALA";250456,00;120036,00;158507,00;81178,00;1888,00;152259,00;152259,00;6248,00
"SICILIA 1";"SICILIA 1 - 03";"04 - GELA";191212,00;90559,00;115503,00;58436,00;1043,00;111905,00;111905,00;3598,00
"SICILIA 1";"SICILIA 1 - 03";"07 - AGRIGENTO";228757,00;108709,00;128867,00;66740,00;1389,00;123842,00;123842,00;5025,00
"SICILIA 1";"SICILIA 1 - 03";"09 - MAZARA DEL VALLO";217999,00;104919,00;138890,00;71427,00;1891,00;133586,00;133586,00;5304,00
"SICILIA 2";"SICILIA 2 - 01";"01 - MESSINA";219277,00;103439,00;139458,00;69976,00;1223,00;134743,00;134743,00;4715,00
"SICILIA 2";"SICILIA 2 - 01";"02 - BARCELLONA POZZO DI GOTTO";250205,00;120345,00;167680,00;85190,00;3255,00;159490,00;159490,00;8190,00
"SICILIA 2";"SICILIA 2 - 01";"03 - ENNA";175939,00;83888,00;113493,00;57859,00;1464,00;108742,00;108742,00;4751,00
"SICILIA 2";"SICILIA 2 - 02";"04 - ACIREALE";229873,00;111211,00;155579,00;78540,00;1703,00;149090,00;149090,00;6489,00
"SICILIA 2";"SICILIA 2 - 02";"05 - CATANIA";247576,00;115293,00;147989,00;72876,00;988,00;142303,00;142303,00;5686,00
"SICILIA 2";"SICILIA 2 - 02";"06 - MISTERBIANCO";201186,00;96229,00;137054,00;68184,00;782,00;133417,00;133417,00;3637,00
"SICILIA 2";"SICILIA 2 - 03";"07 - PATERNO";224777,00;108021,00;135715,00;69359,00;1546,00;130167,00;130167,00;5548,00
"SICILIA 2";"SICILIA 2 - 03";"08 - RAGUSA";209922,00;100691,00;136162,00;68841,00;1312,00;131343,00;131343,00;4819,00
"SICILIA 2";"SICILIA 2 - 03";"09 - AVOLA";169888,00;82418,00;103647,00;52859,00;922,00;100494,00;100494,00;3153,00
"SICILIA 2";"SICILIA 2 - 03";"10 - SIRACUSA";183006,00;88573,00;116858,00;59060,00;740,00;114389,00;114389,00;2469,00
"SARDEGNA";"SARDEGNA - 01";"01 - CAGLIARI";240137,00;112605,00;161361,00;78417,00;1206,00;157293,00;157293,00;4068,00
"SARDEGNA";"SARDEGNA - 01";"03 - CARBONIA";273604,00;134268,00;181083,00;91728,00;1573,00;175840,00;175840,00;5243,00
"SARDEGNA";"SARDEGNA - 01";"06 - ORISTANO";234288,00;115470,00;152941,00;77967,00;1658,00;147648,00;147648,00;5293,00
"SARDEGNA";"SARDEGNA - 02";"02 - NUORO";187675,00;91243,00;121492,00;60772,00;1303,00;117576,00;117576,00;3916,00
"SARDEGNA";"SARDEGNA - 02";"04 - SASSARI";218443,00;105211,00;145018,00;72140,00;1073,00;140782,00;140782,00;4236,00
"SARDEGNA";"SARDEGNA - 02";"05 - OLBIA";214324,00;106414,00;134600,00;69121,00;1443,00;129861,00;129861,00;4739,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"01 - BOLZANO/BOZEN";130916,00;62731,00;97446,00;46977,00;2504,00;91661,00;91661,00;5785,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"02 - MERANO/MERAN";115942,00;57331,00;75810,00;37410,00;4936,00;68074,00;68074,00;7736,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"03 - BRESSANONE/BRIXEN";141499,00;70806,00;94868,00;47659,00;6805,00;84120,00;84120,00;10748,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"04 - TRENTO";175504,00;85209,00;139993,00;69222,00;1643,00;135252,00;135252,00;4741,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"05 - ROVERETO";137396,00;67029,00;108990,00;54251,00;1221,00;105427,00;105427,00;3563,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"06 - PERGINE VALSUGANA";95560,00;46971,00;75226,00;37555,00;830,00;72560,00;72560,00;2666,00
