"CIRCOSCRIZIONE";"COLLPLURINOM";"ELETTORITOTALI";"ELETTORIMASCHI";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"SKBIANCHE";"VOTIVALIDILISTE";"VOTIVALIDICAND";"SKNONVALIDE"
"PUGLIA";"PUGLIA - 01";830005,00;399148,00;578136,00;292606,00;4223,00;561412,00;561412,00;16724,00
"PUGLIA";"PUGLIA - 02";844276,00;399164,00;588731,00;293022,00;8608,00;566760,00;566760,00;21971,00
"PUGLIA";"PUGLIA - 03";847439,00;405788,00;587008,00;297027,00;6404,00;568277,00;568277,00;18731,00
"PUGLIA";"PUGLIA - 04";746444,00;361910,00;503753,00;259180,00;4695,00;487711,00;487711,00;16042,00
"BASILICATA";"BASILICATA - 01";462768,00;225183,00;329087,00;168550,00;5669,00;313719,00;313719,00;15368,00
"CALABRIA";"CALABRIA - 01";746151,00;361989,00;482777,00;249336,00;8240,00;462196,00;462196,00;20581,00
"CALABRIA";"CALABRIA - 02";795415,00;381600,00;498268,00;255492,00;7443,00;475514,00;475514,00;22754,00
"SICILIA 1";"SICILIA 1 - 01";549007,00;257019,00;332391,00;165729,00;1682,00;321571,00;321571,00;10820,00
"SICILIA 1";"SICILIA 1 - 02";709562,00;342197,00;446059,00;229339,00;5260,00;428180,00;428180,00;17879,00
"SICILIA 1";"SICILIA 1 - 03";637968,00;304187,00;383260,00;196603,00;4323,00;369333,00;369333,00;13927,00
"SICILIA 2";"SICILIA 2 - 01";645421,00;307672,00;420631,00;213025,00;5942,00;402975,00;402975,00;17656,00
"SICILIA 2";"SICILIA 2 - 02";678635,00;322733,00;440622,00;219600,00;3473,00;424810,00;424810,00;15812,00
"SICILIA 2";"SICILIA 2 - 03";787593,00;379703,00;492382,00;250119,00;4520,00;476393,00;476393,00;15989,00
"SARDEGNA";"SARDEGNA - 01";748029,00;362343,00;495385,00;248112,00;4437,00;480781,00;480781,00;14604,00
"SARDEGNA";"SARDEGNA - 02";620442,00;302868,00;401110,00;202033,00;3819,00;388219,00;388219,00;12891,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";796817,00;390077,00;592333,00;293074,00;17939,00;557094,00;557094,00;35239,00
