"circ";"coll";"comune";"cognome";"nome";"datanascita";"luogonascita";"sesso";"TOTVOTI";"descrcontrass"
"PIEMONTE 1";"Ivrea";"QUINCINETTO";"PANATTONI";"GIORGIO";;"MILANO";"M";207,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"ROMANO CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";358,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"ROMANO CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";764,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"ROMANO CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";863,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"RUEGLIO";"PELLISSIER";"ANDREA";;"TORINO";"M";101,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"RUEGLIO";"TOGNOLI";"ALBERTO";;"IVREA";"M";108,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"RUEGLIO";"PANATTONI";"GIORGIO";;"MILANO";"M";217,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SALERANO CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";76,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SALERANO CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";119,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"SALERANO CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";183,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SAMONE";"PELLISSIER";"ANDREA";;"TORINO";"M";180,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SAMONE";"TOGNOLI";"ALBERTO";;"IVREA";"M";369,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"SAMONE";"PANATTONI";"GIORGIO";;"MILANO";"M";464,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SAN GIORGIO CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";410,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SAN GIORGIO CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";605,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"SAN GIORGIO CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";550,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SAN GIUSTO CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";524,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SAN GIUSTO CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";763,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"SAN GIUSTO CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";732,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SAN MARTINO CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";142,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SAN MARTINO CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";217,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"SAN MARTINO CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";170,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SCARMAGNO";"PELLISSIER";"ANDREA";;"TORINO";"M";162,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SCARMAGNO";"TOGNOLI";"ALBERTO";;"IVREA";"M";177,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"SCARMAGNO";"PANATTONI";"GIORGIO";;"MILANO";"M";196,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SETTIMO ROTTARO";"PELLISSIER";"ANDREA";;"TORINO";"M";73,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SETTIMO ROTTARO";"TOGNOLI";"ALBERTO";;"IVREA";"M";151,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"SETTIMO ROTTARO";"PANATTONI";"GIORGIO";;"MILANO";"M";143,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SETTIMO VITTONE";"PELLISSIER";"ANDREA";;"TORINO";"M";384,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SETTIMO VITTONE";"TOGNOLI";"ALBERTO";;"IVREA";"M";237,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"SETTIMO VITTONE";"PANATTONI";"GIORGIO";;"MILANO";"M";373,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"STRAMBINELLO";"PELLISSIER";"ANDREA";;"TORINO";"M";40,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"STRAMBINELLO";"TOGNOLI";"ALBERTO";;"IVREA";"M";66,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"STRAMBINELLO";"PANATTONI";"GIORGIO";;"MILANO";"M";51,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"STRAMBINO";"PELLISSIER";"ANDREA";;"TORINO";"M";868,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"STRAMBINO";"TOGNOLI";"ALBERTO";;"IVREA";"M";1471,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"STRAMBINO";"PANATTONI";"GIORGIO";;"MILANO";"M";1749,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"TAVAGNASCO";"PELLISSIER";"ANDREA";;"TORINO";"M";183,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"TAVAGNASCO";"TOGNOLI";"ALBERTO";;"IVREA";"M";139,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"TAVAGNASCO";"PANATTONI";"GIORGIO";;"MILANO";"M";228,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"TORRE CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";141,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"TORRE CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";161,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"TORRE CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";132,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"TRAUSELLA";"PELLISSIER";"ANDREA";;"TORINO";"M";17,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"TRAUSELLA";"TOGNOLI";"ALBERTO";;"IVREA";"M";24,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"TRAUSELLA";"PANATTONI";"GIORGIO";;"MILANO";"M";28,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"TRAVERSELLA";"PELLISSIER";"ANDREA";;"TORINO";"M";80,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"PALAZZO CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";206,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"PARELLA";"PELLISSIER";"ANDREA";;"TORINO";"M";75,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"PARELLA";"TOGNOLI";"ALBERTO";;"IVREA";"M";129,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"PARELLA";"PANATTONI";"GIORGIO";;"MILANO";"M";144,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"PAVONE CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";468,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"PAVONE CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";951,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"PAVONE CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";1323,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"PECCO";"PELLISSIER";"ANDREA";;"TORINO";"M";40,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"PECCO";"TOGNOLI";"ALBERTO";;"IVREA";"M";50,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"PECCO";"PANATTONI";"GIORGIO";;"MILANO";"M";70,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"PEROSA CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";88,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"PEROSA CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";103,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"PEROSA CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";113,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"PIVERONE";"PELLISSIER";"ANDREA";;"TORINO";"M";245,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"PIVERONE";"TOGNOLI";"ALBERTO";;"IVREA";"M";270,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"PIVERONE";"PANATTONI";"GIORGIO";;"MILANO";"M";285,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"QUAGLIUZZO";"PELLISSIER";"ANDREA";;"TORINO";"M";62,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"QUAGLIUZZO";"TOGNOLI";"ALBERTO";;"IVREA";"M";67,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"QUAGLIUZZO";"PANATTONI";"GIORGIO";;"MILANO";"M";89,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"QUASSOLO";"PELLISSIER";"ANDREA";;"TORINO";"M";90,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"QUASSOLO";"TOGNOLI";"ALBERTO";;"IVREA";"M";72,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"QUASSOLO";"PANATTONI";"GIORGIO";;"MILANO";"M";97,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"QUINCINETTO";"PELLISSIER";"ANDREA";;"TORINO";"M";234,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"QUINCINETTO";"TOGNOLI";"ALBERTO";;"IVREA";"M";310,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"TRAVERSELLA";"TOGNOLI";"ALBERTO";;"IVREA";"M";95,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"TRAVERSELLA";"PANATTONI";"GIORGIO";;"MILANO";"M";70,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"VESTIGNE'";"PELLISSIER";"ANDREA";;"TORINO";"M";177,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"VESTIGNE'";"TOGNOLI";"ALBERTO";;"IVREA";"M";203,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"VESTIGNE'";"PANATTONI";"GIORGIO";;"MILANO";"M";216,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"VIALFRE'";"PELLISSIER";"ANDREA";;"TORINO";"M";59,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"VIALFRE'";"TOGNOLI";"ALBERTO";;"IVREA";"M";65,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"VIALFRE'";"PANATTONI";"GIORGIO";;"MILANO";"M";61,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"VICO CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";143,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"VICO CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";152,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"VICO CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";221,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"VIDRACCO";"PELLISSIER";"ANDREA";;"TORINO";"M";49,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"VIDRACCO";"TOGNOLI";"ALBERTO";;"IVREA";"M";183,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"VIDRACCO";"PANATTONI";"GIORGIO";;"MILANO";"M";89,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"VISCHE";"PELLISSIER";"ANDREA";;"TORINO";"M";257,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"VISCHE";"TOGNOLI";"ALBERTO";;"IVREA";"M";359,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"VISCHE";"PANATTONI";"GIORGIO";;"MILANO";"M";292,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"VISTRORIO";"PELLISSIER";"ANDREA";;"TORINO";"M";66,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"VISTRORIO";"TOGNOLI";"ALBERTO";;"IVREA";"M";101,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"VISTRORIO";"PANATTONI";"GIORGIO";;"MILANO";"M";181,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"BRANDIZZO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";1648,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"BRANDIZZO";"CORAL";"NEVIO";;"GRUARO";"M";110,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"BRANDIZZO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";2420,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"BRANDIZZO";"SALA";"PIERO";;"SANTHIA'";"M";677,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"BROZOLO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";127,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"BROZOLO";"CORAL";"NEVIO";;"GRUARO";"M";6,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"BROZOLO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";66,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"BROZOLO";"SALA";"PIERO";;"SANTHIA'";"M";89,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"BRUSASCO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";403,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"BRUSASCO";"CORAL";"NEVIO";;"GRUARO";"M";28,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"BRUSASCO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";356,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"BRUSASCO";"SALA";"PIERO";;"SANTHIA'";"M";281,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"CALUSO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";1662,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"CALUSO";"CORAL";"NEVIO";;"GRUARO";"M";109,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"CALUSO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";2199,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"CALUSO";"SALA";"PIERO";;"SANTHIA'";"M";1152,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"CASALBORGONE";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";328,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"CASALBORGONE";"CORAL";"NEVIO";;"GRUARO";"M";30,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"CASALBORGONE";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";400,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"CASALBORGONE";"SALA";"PIERO";;"SANTHIA'";"M";237,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"CASTAGNETO PO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";387,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"CASTAGNETO PO";"CORAL";"NEVIO";;"GRUARO";"M";29,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"CASTAGNETO PO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";292,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"CASTAGNETO PO";"SALA";"PIERO";;"SANTHIA'";"M";229,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"CAVAGNOLO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";621,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"CAVAGNOLO";"CORAL";"NEVIO";;"GRUARO";"M";35,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"CAVAGNOLO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";503,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"CAVAGNOLO";"SALA";"PIERO";;"SANTHIA'";"M";329,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"CHIVASSO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";5641,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"CHIVASSO";"CORAL";"NEVIO";;"GRUARO";"M";412,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"CHIVASSO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";8140,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"CHIVASSO";"SALA";"PIERO";;"SANTHIA'";"M";2142,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"FOGLIZZO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";508,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"FOGLIZZO";"CORAL";"NEVIO";;"GRUARO";"M";31,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"FOGLIZZO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";500,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"FOGLIZZO";"SALA";"PIERO";;"SANTHIA'";"M";360,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"LAURIANO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";336,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"LAURIANO";"CORAL";"NEVIO";;"GRUARO";"M";19,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"LAURIANO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";367,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"LAURIANO";"SALA";"PIERO";;"SANTHIA'";"M";170,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"LEINI";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";2304,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"LEINI";"CORAL";"NEVIO";;"GRUARO";"M";2135,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"LEINI";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";2841,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"LEINI";"SALA";"PIERO";;"SANTHIA'";"M";1168,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"LOMBARDORE";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";385,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"LOMBARDORE";"CORAL";"NEVIO";;"GRUARO";"M";61,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"LOMBARDORE";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";436,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"LOMBARDORE";"SALA";"PIERO";;"SANTHIA'";"M";102,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"MAZZE'";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";775,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"MAZZE'";"CORAL";"NEVIO";;"GRUARO";"M";49,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"MAZZE'";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";1232,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"MAZZE'";"SALA";"PIERO";;"SANTHIA'";"M";609,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"MONTANARO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";1084,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"MONTANARO";"CORAL";"NEVIO";;"GRUARO";"M";95,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"MONTANARO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";1685,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"MONTANARO";"SALA";"PIERO";;"SANTHIA'";"M";654,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"MONTEU DA PO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";214,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"MONTEU DA PO";"CORAL";"NEVIO";;"GRUARO";"M";10,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"MONTEU DA PO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";209,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"MONTEU DA PO";"SALA";"PIERO";;"SANTHIA'";"M";119,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"RIVAROSSA";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";312,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"RIVAROSSA";"CORAL";"NEVIO";;"GRUARO";"M";38,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"RIVAROSSA";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";291,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"RIVAROSSA";"SALA";"PIERO";;"SANTHIA'";"M";223,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"RONDISSONE";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";568,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"RONDISSONE";"CORAL";"NEVIO";;"GRUARO";"M";27,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"RONDISSONE";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";373,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"RONDISSONE";"SALA";"PIERO";;"SANTHIA'";"M";201,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"SAN BENIGNO CANAVESE";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";1186,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"SAN BENIGNO CANAVESE";"CORAL";"NEVIO";;"GRUARO";"M";192,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"SAN BENIGNO CANAVESE";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";1496,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"SAN BENIGNO CANAVESE";"SALA";"PIERO";;"SANTHIA'";"M";509,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"SAN RAFFAELE CIMENA";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";765,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"SAN RAFFAELE CIMENA";"CORAL";"NEVIO";;"GRUARO";"M";29,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"SAN RAFFAELE CIMENA";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";760,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"SAN RAFFAELE CIMENA";"SALA";"PIERO";;"SANTHIA'";"M";306,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"SAN SEBASTIANO DA PO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";477,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"SAN SEBASTIANO DA PO";"CORAL";"NEVIO";;"GRUARO";"M";22,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"SAN SEBASTIANO DA PO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";481,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"SAN SEBASTIANO DA PO";"SALA";"PIERO";;"SANTHIA'";"M";217,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"TORRAZZA PIEMONTE";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";549,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"TORRAZZA PIEMONTE";"CORAL";"NEVIO";;"GRUARO";"M";41,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"TORRAZZA PIEMONTE";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";650,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"TORRAZZA PIEMONTE";"SALA";"PIERO";;"SANTHIA'";"M";257,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"VEROLENGO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";1221,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"VEROLENGO";"CORAL";"NEVIO";;"GRUARO";"M";58,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"VEROLENGO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";1249,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"VEROLENGO";"SALA";"PIERO";;"SANTHIA'";"M";554,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"VERRUA SAVOIA";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";298,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"VERRUA SAVOIA";"CORAL";"NEVIO";;"GRUARO";"M";12,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"VERRUA SAVOIA";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";266,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"VERRUA SAVOIA";"SALA";"PIERO";;"SANTHIA'";"M";254,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"VILLAREGGIA";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";232,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"VILLAREGGIA";"CORAL";"NEVIO";;"GRUARO";"M";9,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"VILLAREGGIA";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";271,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"VILLAREGGIA";"SALA";"PIERO";;"SANTHIA'";"M";167,00;"LEGA NORD"
"PIEMONTE 1";"Chivasso";"VOLPIANO";"VIETTI";"MICHELE GIUSEPPE";;"LANZO TORINESE";"M";3045,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Chivasso";"VOLPIANO";"CORAL";"NEVIO";;"GRUARO";"M";346,00;"NUOVE ENERGIE"
"PIEMONTE 1";"Chivasso";"VOLPIANO";"CAMBURSANO";"RENATO";;"CHIVASSO";"M";3670,00;"L'ULIVO"
"PIEMONTE 1";"Chivasso";"VOLPIANO";"SALA";"PIERO";;"SANTHIA'";"M";1318,00;"LEGA NORD"
