"circ";"coll";"comune";"elettoritot";"elettorimaschi";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"VOTIVALIDI";"SKBIANCHE"
"PIEMONTE 1";"Ivrea";"MERCENASCO";1016,00;;875,00;;814,00;28,00
"PIEMONTE 1";"Ivrea";"MEUGLIANO";128,00;;78,00;;66,00;5,00
"PIEMONTE 1";"Ivrea";"MONTALENGHE";732,00;;616,00;;568,00;30,00
"PIEMONTE 1";"Ivrea";"MONTALTO DORA";2920,00;;2545,00;;2354,00;72,00
"PIEMONTE 1";"Ivrea";"NOMAGLIO";346,00;;273,00;;229,00;11,00
"PIEMONTE 1";"Ivrea";"ORIO CANAVESE";703,00;;599,00;;566,00;14,00
"PIEMONTE 1";"Ivrea";"PALAZZO CANAVESE";708,00;;587,00;;539,00;15,00
"PIEMONTE 1";"Ivrea";"PARELLA";446,00;;367,00;;348,00;9,00
"PIEMONTE 1";"Ivrea";"PAVONE CANAVESE";3466,00;;2938,00;;2742,00;77,00
"PIEMONTE 1";"Ivrea";"PECCO";222,00;;181,00;;160,00;7,00
"PIEMONTE 1";"Ivrea";"PEROSA CANAVESE";388,00;;330,00;;304,00;7,00
"PIEMONTE 1";"Ivrea";"PIVERONE";1019,00;;877,00;;800,00;32,00
"PIEMONTE 1";"Ivrea";"QUAGLIUZZO";291,00;;241,00;;218,00;10,00
"PIEMONTE 1";"Ivrea";"QUASSOLO";361,00;;301,00;;259,00;18,00
"PIEMONTE 1";"Ivrea";"QUINCINETTO";950,00;;845,00;;751,00;49,00
"PIEMONTE 1";"Ivrea";"ROMANO CANAVESE";2470,00;;2150,00;;1985,00;74,00
"PIEMONTE 1";"Ivrea";"RUEGLIO";770,00;;501,00;;426,00;28,00
"PIEMONTE 1";"Ivrea";"SALERANO CANAVESE";470,00;;410,00;;378,00;15,00
"PIEMONTE 1";"Ivrea";"SAMONE";1254,00;;1090,00;;1013,00;30,00
"PIEMONTE 1";"Ivrea";"SAN GIORGIO CANAVESE";2039,00;;1739,00;;1565,00;94,00
"PIEMONTE 1";"Ivrea";"SAN GIUSTO CANAVESE";2613,00;;2198,00;;2019,00;63,00
"PIEMONTE 1";"Ivrea";"SAN MARTINO CANAVESE";658,00;;563,00;;529,00;14,00
"PIEMONTE 1";"Ivrea";"SCARMAGNO";654,00;;577,00;;535,00;19,00
"PIEMONTE 1";"Ivrea";"SETTIMO ROTTARO";482,00;;433,00;;367,00;31,00
"PIEMONTE 1";"Ivrea";"SETTIMO VITTONE";1430,00;;1089,00;;994,00;49,00
"PIEMONTE 1";"Ivrea";"STRAMBINELLO";223,00;;180,00;;157,00;8,00
"PIEMONTE 1";"Ivrea";"STRAMBINO";5166,00;;4484,00;;4088,00;154,00
"PIEMONTE 1";"Ivrea";"TAVAGNASCO";711,00;;600,00;;550,00;23,00
"PIEMONTE 1";"Ivrea";"TORRE CANAVESE";559,00;;458,00;;434,00;15,00
"PIEMONTE 1";"Ivrea";"TRAUSELLA";134,00;;85,00;;69,00;7,00
"PIEMONTE 1";"Ivrea";"TRAVERSELLA";388,00;;280,00;;245,00;15,00
"PIEMONTE 1";"Ivrea";"VESTIGNE'";762,00;;663,00;;596,00;41,00
"PIEMONTE 1";"Ivrea";"VIALFRE'";227,00;;200,00;;185,00;4,00
"PIEMONTE 1";"Ivrea";"VICO CANAVESE";821,00;;579,00;;516,00;29,00
"PIEMONTE 1";"Ivrea";"VIDRACCO";391,00;;343,00;;321,00;10,00
"PIEMONTE 1";"Ivrea";"VISCHE";1215,00;;1003,00;;908,00;47,00
"PIEMONTE 1";"Ivrea";"VISTRORIO";422,00;;376,00;;348,00;13,00
"PIEMONTE 1";"Chivasso";"BRANDIZZO";5936,00;;5249,00;;4855,00;143,00
"PIEMONTE 1";"Chivasso";"BROZOLO";414,00;;312,00;;288,00;12,00
"PIEMONTE 1";"Chivasso";"BRUSASCO";1413,00;;1160,00;;1068,00;35,00
"PIEMONTE 1";"Chivasso";"CALUSO";6295,00;;5513,00;;5122,00;131,00
"PIEMONTE 1";"Chivasso";"CASALBORGONE";1403,00;;1108,00;;995,00;55,00
"PIEMONTE 1";"Chivasso";"CASTAGNETO PO";1143,00;;996,00;;937,00;20,00
"PIEMONTE 1";"Chivasso";"CAVAGNOLO";1947,00;;1636,00;;1488,00;59,00
"PIEMONTE 1";"Chivasso";"CHIVASSO";20648,00;;17698,00;;16335,00;484,00
"PIEMONTE 1";"Chivasso";"FOGLIZZO";1857,00;;1538,00;;1399,00;60,00
"PIEMONTE 1";"Chivasso";"LAURIANO";1150,00;;989,00;;892,00;49,00
"PIEMONTE 1";"Chivasso";"LEINI";10114,00;;8983,00;;8448,00;183,00
"PIEMONTE 1";"Chivasso";"LOMBARDORE";1225,00;;1052,00;;984,00;31,00
"PIEMONTE 1";"Chivasso";"MAZZE'";3363,00;;2892,00;;2665,00;95,00
"PIEMONTE 1";"Chivasso";"MONTANARO";4494,00;;3849,00;;3518,00;131,00
"PIEMONTE 1";"Chivasso";"MONTEU DA PO";724,00;;614,00;;552,00;20,00
"PIEMONTE 1";"Chivasso";"RIVAROSSA";1113,00;;936,00;;864,00;38,00
"PIEMONTE 1";"Chivasso";"RONDISSONE";1519,00;;1302,00;;1169,00;68,00
"PIEMONTE 1";"Chivasso";"SAN BENIGNO CANAVESE";4278,00;;3639,00;;3383,00;93,00
"PIEMONTE 1";"Chivasso";"SAN RAFFAELE CIMENA";2214,00;;1989,00;;1860,00;57,00
"PIEMONTE 1";"Chivasso";"SAN SEBASTIANO DA PO";1532,00;;1298,00;;1197,00;40,00
"PIEMONTE 1";"Chivasso";"TORRAZZA PIEMONTE";1964,00;;1649,00;;1497,00;71,00
"PIEMONTE 1";"Chivasso";"VEROLENGO";3847,00;;3367,00;;3082,00;115,00
"PIEMONTE 1";"Chivasso";"VERRUA SAVOIA";1195,00;;921,00;;830,00;47,00
"PIEMONTE 1";"Chivasso";"VILLAREGGIA";847,00;;751,00;;679,00;39,00
"PIEMONTE 1";"Chivasso";"VOLPIANO";10537,00;;9022,00;;8379,00;248,00
"PIEMONTE 1";"Settimo Torinese";"ANDEZENO";1416,00;;1238,00;;1134,00;47,00
"PIEMONTE 1";"Settimo Torinese";"ARIGNANO";716,00;;625,00;;574,00;29,00
"PIEMONTE 1";"Settimo Torinese";"CASTIGLIONE TORINESE";4424,00;;3971,00;;3748,00;92,00
"PIEMONTE 1";"Settimo Torinese";"CHIERI";27052,00;;23403,00;;21698,00;667,00
"PIEMONTE 1";"Settimo Torinese";"CINZANO";286,00;;247,00;;231,00;8,00
"PIEMONTE 1";"Settimo Torinese";"GASSINO TORINESE";7312,00;;6446,00;;6053,00;170,00
"PIEMONTE 1";"Settimo Torinese";"MARENTINO";877,00;;736,00;;698,00;18,00
"PIEMONTE 1";"Settimo Torinese";"MOMBELLO DI TORINO";278,00;;243,00;;213,00;13,00
"PIEMONTE 1";"Settimo Torinese";"MONTALDO TORINESE";428,00;;362,00;;335,00;18,00
"PIEMONTE 1";"Settimo Torinese";"MORIONDO TORINESE";668,00;;567,00;;514,00;24,00
"PIEMONTE 1";"Settimo Torinese";"PAVAROLO";727,00;;645,00;;604,00;18,00
"PIEMONTE 1";"Settimo Torinese";"RIVALBA";783,00;;713,00;;659,00;25,00
"PIEMONTE 1";"Settimo Torinese";"RIVA PRESSO CHIERI";3027,00;;2639,00;;2421,00;99,00
"PIEMONTE 1";"Settimo Torinese";"SAN MAURO TORINESE";14933,00;;13515,00;;12741,00;286,00
"PIEMONTE 1";"Settimo Torinese";"SCIOLZE";1239,00;;1093,00;;1034,00;27,00
"PIEMONTE 1";"Settimo Torinese";"SETTIMO TORINESE";39946,00;;35530,00;;33221,00;844,00
"PIEMONTE 1";"Moncalieri";"BALDISSERO TORINESE";2537,00;;2231,00;;2096,00;62,00
"PIEMONTE 1";"Moncalieri";"CAMBIANO";4707,00;;4224,00;;3886,00;121,00
"PIEMONTE 1";"Moncalieri";"ISOLABELLA";301,00;;278,00;;262,00;10,00
"PIEMONTE 1";"Moncalieri";"MONCALIERI";49320,00;;44182,00;;40867,00;1111,00
"PIEMONTE 1";"Moncalieri";"PECETTO TORINESE";2898,00;;2568,00;;2436,00;57,00
"PIEMONTE 1";"Moncalieri";"PINO TORINESE";7342,00;;6417,00;;6137,00;113,00
"PIEMONTE 1";"Moncalieri";"POIRINO";7443,00;;6650,00;;6096,00;221,00
"PIEMONTE 1";"Moncalieri";"PRALORMO";1413,00;;1224,00;;1131,00;37,00
"PIEMONTE 1";"Moncalieri";"SANTENA";8423,00;;7501,00;;6883,00;230,00
"PIEMONTE 1";"Moncalieri";"TROFARELLO";7499,00;;6878,00;;6312,00;185,00
"PIEMONTE 1";"Moncalieri";"VILLASTELLONE";3855,00;;3435,00;;3166,00;124,00
"PIEMONTE 1";"Nichelino";"CANDIOLO";4116,00;;3751,00;;3471,00;99,00
"PIEMONTE 1";"Nichelino";"CARIGNANO";7306,00;;6453,00;;5830,00;240,00
"PIEMONTE 1";"Nichelino";"CARMAGNOLA";20495,00;;17857,00;;16165,00;672,00
"PIEMONTE 1";"Nichelino";"CASTAGNOLE PIEMONTE";1414,00;;1251,00;;1128,00;55,00
"PIEMONTE 1";"Nichelino";"CERCENASCO";1408,00;;1231,00;;1115,00;62,00
"PIEMONTE 1";"Nichelino";"LA LOGGIA";5299,00;;4785,00;;4402,00;121,00
"PIEMONTE 1";"Nichelino";"LOMBRIASCO";784,00;;686,00;;623,00;26,00
"PIEMONTE 1";"Nichelino";"NICHELINO";37583,00;;33100,00;;30287,00;894,00
"PIEMONTE 1";"Nichelino";"NONE";6230,00;;5486,00;;5035,00;168,00
"PIEMONTE 1";"Nichelino";"OSASIO";547,00;;487,00;;441,00;24,00
"PIEMONTE 1";"Nichelino";"PANCALIERI";1475,00;;1340,00;;1194,00;73,00
"PIEMONTE 1";"Nichelino";"PIOBESI TORINESE";2446,00;;2221,00;;2037,00;68,00
"PIEMONTE 1";"Nichelino";"VIGONE";4355,00;;3666,00;;3330,00;156,00
"PIEMONTE 1";"Nichelino";"VINOVO";11385,00;;10466,00;;9714,00;287,00
"PIEMONTE 1";"Nichelino";"VIRLE PIEMONTE";816,00;;705,00;;639,00;39,00
"PIEMONTE 1";"Rivoli";"AIRASCA";2644,00;;2272,00;;2097,00;58,00
"PIEMONTE 1";"Rivoli";"BEINASCO";15485,00;;13796,00;;12764,00;338,00
"PIEMONTE 1";"Rivoli";"BRUINO";5410,00;;4915,00;;4634,00;91,00
"PIEMONTE 1";"Rivoli";"ORBASSANO";17688,00;;15877,00;;14716,00;407,00
"PIEMONTE 1";"Rivoli";"RIVALTA DI TORINO";14167,00;;12755,00;;11904,00;325,00
"PIEMONTE 1";"Rivoli";"RIVOLI";44077,00;;39101,00;;36652,00;906,00
"PIEMONTE 1";"Rivoli";"SCALENGHE";2520,00;;2204,00;;1966,00;109,00
"PIEMONTE 1";"Rivoli";"VOLVERA";5519,00;;4792,00;;4447,00;115,00
"PIEMONTE 1";"Collegno";"ALPIGNANO";14475,00;;12720,00;;11896,00;283,00
"PIEMONTE 1";"Collegno";"COLLEGNO";39889,00;;35145,00;;33067,00;760,00
"PIEMONTE 1";"Collegno";"GRUGLIASCO";34128,00;;30279,00;;28292,00;735,00
"PIEMONTE 1";"Collegno";"PIANEZZA";9561,00;;8609,00;;8035,00;208,00
"PIEMONTE 1";"Venaria Reale";"BORGARO TORINESE";9210,00;;8303,00;;7756,00;184,00
"PIEMONTE 1";"Venaria Reale";"CASELLE TORINESE";12231,00;;10611,00;;9780,00;307,00
"PIEMONTE 1";"Venaria Reale";"CIRIE'";15221,00;;13370,00;;12361,00;359,00
"PIEMONTE 1";"Venaria Reale";"DRUENTO";6673,00;;5866,00;;5441,00;146,00
"PIEMONTE 1";"Venaria Reale";"FIANO";2170,00;;1910,00;;1789,00;44,00
"PIEMONTE 1";"Venaria Reale";"GROSSO";773,00;;665,00;;604,00;22,00
"PIEMONTE 1";"Venaria Reale";"NOLE";5275,00;;4539,00;;4171,00;128,00
"PIEMONTE 1";"Venaria Reale";"ROBASSOMERO";2492,00;;2213,00;;2062,00;69,00
"PIEMONTE 1";"Venaria Reale";"SAN CARLO CANAVESE";2947,00;;2596,00;;2371,00;83,00
"PIEMONTE 1";"Venaria Reale";"SAN FRANCESCO AL CAMPO";3396,00;;2936,00;;2689,00;102,00
"PIEMONTE 1";"Venaria Reale";"SAN MAURIZIO CANAVESE";5774,00;;5055,00;;4607,00;178,00
"PIEMONTE 1";"Venaria Reale";"VENARIA REALE";27646,00;;24388,00;;22580,00;575,00
"PIEMONTE 1";"Venaria Reale";"VILLANOVA CANAVESE";845,00;;749,00;;673,00;30,00
"PIEMONTE 1";"Rivarolo Canavese";"ALA DI STURA";432,00;;346,00;;305,00;16,00
"PIEMONTE 1";"Rivarolo Canavese";"ALPETTE";281,00;;245,00;;235,00;9,00
"PIEMONTE 1";"Rivarolo Canavese";"BALANGERO";2632,00;;2248,00;;2064,00;67,00
"PIEMONTE 1";"Rivarolo Canavese";"BALME";86,00;;65,00;;61,00;3,00
"PIEMONTE 1";"Rivarolo Canavese";"BARBANIA";1230,00;;978,00;;873,00;43,00
"PIEMONTE 1";"Rivarolo Canavese";"BOSCONERO";2417,00;;2024,00;;1850,00;78,00
"PIEMONTE 1";"Rivarolo Canavese";"BUSANO";1070,00;;907,00;;823,00;40,00
"PIEMONTE 1";"Rivarolo Canavese";"CAFASSE";3011,00;;2567,00;;2389,00;76,00
"PIEMONTE 1";"Rivarolo Canavese";"CANISCHIO";261,00;;192,00;;184,00;3,00
"PIEMONTE 1";"Rivarolo Canavese";"CANTOIRA";476,00;;387,00;;367,00;12,00
"PIEMONTE 1";"Rivarolo Canavese";"CASELETTE";2226,00;;1985,00;;1869,00;47,00
"PIEMONTE 1";"Rivarolo Canavese";"CERES";877,00;;740,00;;676,00;26,00
"PIEMONTE 1";"Rivarolo Canavese";"CERESOLE REALE";137,00;;121,00;;117,00;2,00
"PIEMONTE 1";"Rivarolo Canavese";"CHIALAMBERTO";344,00;;285,00;;266,00;10,00
"PIEMONTE 1";"Rivarolo Canavese";"CICONIO";288,00;;242,00;;222,00;6,00
"PIEMONTE 1";"Rivarolo Canavese";"COASSOLO TORINESE";1197,00;;944,00;;872,00;33,00
"PIEMONTE 1";"Rivarolo Canavese";"CORIO";2650,00;;2101,00;;1926,00;77,00
"PIEMONTE 1";"Rivarolo Canavese";"CUORGNE'";8657,00;;7214,00;;6790,00;152,00
"PIEMONTE 1";"Rivarolo Canavese";"FAVRIA";3433,00;;2788,00;;2533,00;103,00
"PIEMONTE 1";"Rivarolo Canavese";"FELETTO";1984,00;;1645,00;;1447,00;88,00
"PIEMONTE 1";"Rivarolo Canavese";"FORNO CANAVESE";3404,00;;2695,00;;2454,00;105,00
"PIEMONTE 1";"Rivarolo Canavese";"FRASSINETTO";247,00;;177,00;;157,00;12,00
"PIEMONTE 1";"Rivarolo Canavese";"FRONT";1328,00;;1131,00;;1034,00;43,00
"PIEMONTE 1";"Rivarolo Canavese";"GERMAGNANO";1097,00;;927,00;;852,00;31,00
"PIEMONTE 1";"Rivarolo Canavese";"GIVOLETTO";1751,00;;1532,00;;1462,00;22,00
"PIEMONTE 1";"Rivarolo Canavese";"GROSCAVALLO";240,00;;205,00;;183,00;11,00
"PIEMONTE 1";"Rivarolo Canavese";"INGRIA";88,00;;53,00;;48,00;3,00
"PIEMONTE 1";"Rivarolo Canavese";"LA CASSA";1026,00;;929,00;;865,00;25,00
"PIEMONTE 1";"Rivarolo Canavese";"LANZO TORINESE";4425,00;;3805,00;;3477,00;121,00
"PIEMONTE 1";"Rivarolo Canavese";"LEMIE";251,00;;189,00;;168,00;12,00
"PIEMONTE 1";"Rivarolo Canavese";"LEVONE";429,00;;363,00;;329,00;21,00
"PIEMONTE 1";"Rivarolo Canavese";"LOCANA";1703,00;;1372,00;;1275,00;49,00
"PIEMONTE 1";"Rivarolo Canavese";"LUSIGLIE'";455,00;;400,00;;345,00;23,00
"PIEMONTE 1";"Rivarolo Canavese";"MATHI";3537,00;;3031,00;;2802,00;83,00
"PIEMONTE 1";"Rivarolo Canavese";"MEZZENILE";846,00;;625,00;;572,00;19,00
"PIEMONTE 1";"Rivarolo Canavese";"MONASTERO DI LANZO";361,00;;282,00;;251,00;13,00
"PIEMONTE 1";"Rivarolo Canavese";"NOASCA";218,00;;168,00;;163,00;1,00
"PIEMONTE 1";"Rivarolo Canavese";"OGLIANICO";1030,00;;882,00;;819,00;20,00
"PIEMONTE 1";"Rivarolo Canavese";"OZEGNA";999,00;;854,00;;769,00;32,00
"PIEMONTE 1";"Rivarolo Canavese";"PERTUSIO";589,00;;503,00;;469,00;17,00
"PIEMONTE 1";"Rivarolo Canavese";"PESSINETTO";609,00;;500,00;;467,00;18,00
"PIEMONTE 1";"Rivarolo Canavese";"PONT-CANAVESE";3429,00;;2818,00;;2588,00;118,00
"PIEMONTE 1";"Rivarolo Canavese";"PRASCORSANO";551,00;;469,00;;439,00;15,00
"PIEMONTE 1";"Rivarolo Canavese";"PRATIGLIONE";522,00;;421,00;;380,00;26,00
"PIEMONTE 1";"Rivarolo Canavese";"RIBORDONE";101,00;;66,00;;61,00;2,00
"PIEMONTE 1";"Rivarolo Canavese";"RIVARA";2231,00;;1904,00;;1773,00;64,00
"PIEMONTE 1";"Rivarolo Canavese";"RIVAROLO CANAVESE";10271,00;;8418,00;;7800,00;230,00
"PIEMONTE 1";"Rivarolo Canavese";"ROCCA CANAVESE";1336,00;;1095,00;;1008,00;36,00
"PIEMONTE 1";"Rivarolo Canavese";"RONCO CANAVESE";1037,00;;294,00;;275,00;14,00
"PIEMONTE 1";"Rivarolo Canavese";"SALASSA";1347,00;;1156,00;;1058,00;43,00
"PIEMONTE 1";"Rivarolo Canavese";"SAN COLOMBANO BELMONTE";319,00;;255,00;;249,00;4,00
"PIEMONTE 1";"Rivarolo Canavese";"SAN GILLIO";1993,00;;1792,00;;1680,00;44,00
"PIEMONTE 1";"Rivarolo Canavese";"SAN PONSO";211,00;;176,00;;156,00;11,00
"PIEMONTE 1";"Rivarolo Canavese";"SPARONE";1054,00;;800,00;;748,00;22,00
"PIEMONTE 1";"Rivarolo Canavese";"TRAVES";488,00;;397,00;;379,00;12,00
"PIEMONTE 1";"Rivarolo Canavese";"USSEGLIO";253,00;;170,00;;155,00;7,00
"PIEMONTE 1";"Rivarolo Canavese";"VAL DELLA TORRE";2695,00;;2355,00;;2187,00;75,00
"PIEMONTE 1";"Rivarolo Canavese";"VALLO TORINESE";616,00;;560,00;;524,00;18,00
"PIEMONTE 1";"Rivarolo Canavese";"VALPERGA";2931,00;;2443,00;;2244,00;83,00
"PIEMONTE 1";"Rivarolo Canavese";"VALPRATO SOANA";257,00;;114,00;;107,00;5,00
"PIEMONTE 1";"Rivarolo Canavese";"VARISELLA";591,00;;524,00;;458,00;18,00
"PIEMONTE 1";"Rivarolo Canavese";"VAUDA CANAVESE";1157,00;;962,00;;879,00;41,00
"PIEMONTE 1";"Rivarolo Canavese";"VIU'";1070,00;;799,00;;716,00;34,00
"PIEMONTE 1";"Giaveno";"ALMESE";4569,00;;3968,00;;3686,00;122,00
"PIEMONTE 1";"Giaveno";"AVIGLIANA";8892,00;;7571,00;;7023,00;200,00
"PIEMONTE 1";"Giaveno";"BARDONECCHIA";2600,00;;2255,00;;2119,00;61,00
"PIEMONTE 1";"Giaveno";"BORGONE SUSA";1908,00;;1604,00;;1487,00;53,00
"PIEMONTE 1";"Giaveno";"BRUZOLO";1161,00;;997,00;;938,00;26,00
"PIEMONTE 1";"Giaveno";"BUSSOLENO";5599,00;;4683,00;;4323,00;134,00
"PIEMONTE 1";"Giaveno";"BUTTIGLIERA ALTA";5570,00;;4977,00;;4713,00;96,00
"PIEMONTE 1";"Giaveno";"CAPRIE";1501,00;;1282,00;;1169,00;54,00
"PIEMONTE 1";"Giaveno";"CESANA TORINESE";822,00;;689,00;;665,00;7,00
"PIEMONTE 1";"Giaveno";"CHIANOCCO";1367,00;;1184,00;;1092,00;36,00
"PIEMONTE 1";"Giaveno";"CHIOMONTE";878,00;;734,00;;693,00;14,00
"PIEMONTE 1";"Giaveno";"CHIUSA DI SAN MICHELE";1301,00;;1148,00;;1077,00;29,00
"PIEMONTE 1";"Giaveno";"CLAVIERE";156,00;;124,00;;121,00;3,00
"PIEMONTE 1";"Giaveno";"COAZZE";2298,00;;1948,00;;1816,00;45,00
"PIEMONTE 1";"Giaveno";"CONDOVE";3870,00;;3226,00;;3006,00;90,00
"PIEMONTE 1";"Giaveno";"EXILLES";268,00;;203,00;;196,00;3,00
"PIEMONTE 1";"Giaveno";"GIAGLIONE";570,00;;466,00;;428,00;16,00
"PIEMONTE 1";"Giaveno";"GIAVENO";11959,00;;10324,00;;9632,00;217,00
"PIEMONTE 1";"Giaveno";"GRAVERE";565,00;;476,00;;448,00;14,00
"PIEMONTE 1";"Giaveno";"MATTIE";600,00;;479,00;;422,00;27,00
"PIEMONTE 1";"Giaveno";"MEANA DI SUSA";795,00;;657,00;;608,00;11,00
"PIEMONTE 1";"Giaveno";"MOMPANTERO";528,00;;440,00;;410,00;11,00
"PIEMONTE 1";"Giaveno";"MONCENISIO";34,00;;33,00;;30,00;2,00
"PIEMONTE 1";"Giaveno";"NOVALESA";465,00;;401,00;;367,00;16,00
"PIEMONTE 1";"Giaveno";"OULX";2131,00;;1800,00;;1706,00;38,00
"PIEMONTE 1";"Giaveno";"REANO";1156,00;;982,00;;938,00;18,00
"PIEMONTE 1";"Giaveno";"ROSTA";3148,00;;2803,00;;2644,00;63,00
"PIEMONTE 1";"Giaveno";"RUBIANA";1575,00;;1283,00;;1197,00;36,00
"PIEMONTE 1";"Giaveno";"SALBERTRAND";395,00;;318,00;;308,00;5,00
"PIEMONTE 1";"Giaveno";"SAN DIDERO";320,00;;264,00;;235,00;13,00
"PIEMONTE 1";"Giaveno";"SANGANO";3048,00;;2796,00;;2647,00;51,00
"PIEMONTE 1";"Giaveno";"SAN GIORIO DI SUSA";800,00;;698,00;;629,00;28,00
"PIEMONTE 1";"Giaveno";"SANT'AMBROGIO DI TORINO";3359,00;;2913,00;;2713,00;93,00
"PIEMONTE 1";"Giaveno";"SANT'ANTONINO DI SUSA";3328,00;;2927,00;;2721,00;92,00
"PIEMONTE 1";"Giaveno";"SAUZE DI CESANA";172,00;;131,00;;126,00;4,00
"PIEMONTE 1";"Giaveno";"SAUZE D'OULX";829,00;;693,00;;666,00;14,00
"PIEMONTE 1";"Giaveno";"SESTRIERE";725,00;;643,00;;608,00;17,00
"PIEMONTE 1";"Giaveno";"SUSA";5753,00;;4761,00;;4410,00;117,00
"PIEMONTE 1";"Giaveno";"TRANA";2691,00;;2323,00;;2181,00;45,00
"PIEMONTE 1";"Giaveno";"VAIE";998,00;;867,00;;799,00;15,00
"PIEMONTE 1";"Giaveno";"VALGIOIE";569,00;;473,00;;448,00;10,00
"PIEMONTE 1";"Giaveno";"VENAUS";846,00;;700,00;;643,00;19,00
"PIEMONTE 1";"Giaveno";"VILLARBASSE";2353,00;;2145,00;;2053,00;44,00
"PIEMONTE 1";"Giaveno";"VILLAR DORA";1882,00;;1620,00;;1509,00;43,00
"PIEMONTE 1";"Giaveno";"VILLAR FOCCHIARDO";1819,00;;1472,00;;1360,00;46,00
"PIEMONTE 1";"Pinerolo";"ANGROGNA";748,00;;494,00;;432,00;27,00
"PIEMONTE 1";"Pinerolo";"BIBIANA";2293,00;;1925,00;;1769,00;70,00
