"circ";"coll";"comune";"elettoritot";"elettorimaschi";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"VOTIVALIDI";"SKBIANCHE"
"PIEMONTE 1";"Torino 1";"TORINO";109414,00;;89382,00;;84724,00;1738,00
"PIEMONTE 1";"Torino 2";"TORINO";94267,00;;79928,00;;75841,00;1357,00
"PIEMONTE 1";"Torino 3";"TORINO";105121,00;;89610,00;;83809,00;2052,00
"PIEMONTE 1";"Torino 4";"TORINO";101007,00;;82963,00;;76698,00;2237,00
"PIEMONTE 1";"Torino 5";"TORINO";94404,00;;80682,00;;73250,00;3196,00
"PIEMONTE 1";"Torino 6";"TORINO";101228,00;;86971,00;;82572,00;1571,00
"PIEMONTE 1";"Torino 7";"TORINO";103091,00;;88909,00;;83916,00;1655,00
"PIEMONTE 1";"Torino 8";"TORINO";95033,00;;83537,00;;79225,00;1403,00
"PIEMONTE 1";"Ivrea";"AGLIE'";2277,00;;1849,00;;1701,00;37,00
"PIEMONTE 1";"Ivrea";"ALBIANO D'IVREA";1457,00;;1272,00;;1147,00;44,00
"PIEMONTE 1";"Ivrea";"ALICE SUPERIORE";537,00;;430,00;;392,00;19,00
"PIEMONTE 1";"Ivrea";"ANDRATE";418,00;;340,00;;307,00;16,00
"PIEMONTE 1";"Ivrea";"AZEGLIO";1052,00;;835,00;;762,00;37,00
"PIEMONTE 1";"Ivrea";"BAIRO";676,00;;544,00;;487,00;22,00
"PIEMONTE 1";"Ivrea";"BALDISSERO CANAVESE";528,00;;494,00;;448,00;19,00
"PIEMONTE 1";"Ivrea";"BANCHETTE";3224,00;;2795,00;;2622,00;62,00
"PIEMONTE 1";"Ivrea";"BARONE CANAVESE";502,00;;441,00;;390,00;21,00
"PIEMONTE 1";"Ivrea";"BOLLENGO";1744,00;;1431,00;;1293,00;60,00
"PIEMONTE 1";"Ivrea";"BORGIALLO";432,00;;360,00;;327,00;17,00
"PIEMONTE 1";"Ivrea";"BORGOFRANCO D'IVREA";3125,00;;2646,00;;2465,00;74,00
"PIEMONTE 1";"Ivrea";"BORGOMASINO";733,00;;584,00;;520,00;38,00
"PIEMONTE 1";"Ivrea";"BROSSO";426,00;;336,00;;296,00;22,00
"PIEMONTE 1";"Ivrea";"BUROLO";1124,00;;930,00;;874,00;27,00
"PIEMONTE 1";"Ivrea";"CANDIA CANAVESE";1180,00;;1029,00;;950,00;31,00
"PIEMONTE 1";"Ivrea";"CARAVINO";948,00;;811,00;;725,00;44,00
"PIEMONTE 1";"Ivrea";"CAREMA";705,00;;536,00;;487,00;20,00
"PIEMONTE 1";"Ivrea";"CASCINETTE D'IVREA";1314,00;;1146,00;;1073,00;23,00
"PIEMONTE 1";"Ivrea";"CASTELLAMONTE";7799,00;;6494,00;;5892,00;226,00
"PIEMONTE 1";"Ivrea";"CASTELNUOVO NIGRA";442,00;;355,00;;322,00;16,00
"PIEMONTE 1";"Ivrea";"CHIAVERANO";1971,00;;1637,00;;1527,00;39,00
"PIEMONTE 1";"Ivrea";"CHIESANUOVA";184,00;;138,00;;120,00;11,00
"PIEMONTE 1";"Ivrea";"CINTANO";221,00;;185,00;;169,00;9,00
"PIEMONTE 1";"Ivrea";"COLLERETTO CASTELNUOVO";271,00;;220,00;;206,00;7,00
"PIEMONTE 1";"Ivrea";"COLLERETTO GIACOSA";565,00;;487,00;;450,00;16,00
"PIEMONTE 1";"Ivrea";"COSSANO CANAVESE";461,00;;399,00;;336,00;35,00
"PIEMONTE 1";"Ivrea";"CUCEGLIO";784,00;;675,00;;621,00;18,00
"PIEMONTE 1";"Ivrea";"FIORANO CANAVESE";740,00;;650,00;;603,00;13,00
"PIEMONTE 1";"Ivrea";"ISSIGLIO";382,00;;302,00;;262,00;22,00
"PIEMONTE 1";"Ivrea";"IVREA";21972,00;;18845,00;;17728,00;446,00
"PIEMONTE 1";"Ivrea";"LESSOLO";1708,00;;1433,00;;1332,00;43,00
"PIEMONTE 1";"Ivrea";"LORANZE'";971,00;;804,00;;740,00;24,00
"PIEMONTE 1";"Ivrea";"LUGNACCO";313,00;;251,00;;225,00;13,00
"PIEMONTE 1";"Ivrea";"MAGLIONE";435,00;;362,00;;335,00;15,00
